iter	Passed	Remaining
0	0	91
1	1	78
2	2	76
3	2	69
4	3	69
5	4	68
6	5	67
7	5	66
8	6	66
9	7	65
10	8	64
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	29	126
19	31	124
20	31	120
21	32	116
22	33	112
23	34	108
24	34	104
25	35	101
26	36	98
27	37	95
28	37	92
29	38	90
30	39	87
31	40	85
32	40	83
33	41	80
34	42	78
35	43	76
36	43	74
37	44	72
38	45	70
39	46	69
40	46	67
41	47	64
42	47	63
43	48	61
44	49	59
45	49	58
46	50	56
47	51	55
48	51	53
49	52	52
50	53	50
51	53	49
52	54	48
53	55	46
54	55	45
55	56	44
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	66	25
72	67	24
73	68	23
74	68	22
75	69	21
76	70	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	7
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	85	1
98	85	0
99	86	0
